"","ID","group","PC1","PC2"
"1","DM1-001","DM1",-1.91545954067592,-0.130035214197347
"2","DM1-003","DM1",-1.68574955373015,0.035977271300864
"3","DM1-005","DM1",-1.53379581909215,0.0231068927044676
"4","DM1-013","DM1",-0.911381893165318,0.0674410463312548
"5","DM1-014","DM1",-1.25937034169266,-0.136214495032626
"6","DM1-038","DM1",-1.68986838849431,0.0100661113028148
"7","DM1-039","DM1",-1.67143655595498,-0.00843617393173129
"8","DM1-040","DM1",-1.34870590773848,-0.0102286806833397
"9","DM1-042","DM1",-1.67410437950418,0.0212961531127674
"10","DM1-047d","DM1",-1.28022824349848,-0.141627569519445
"11","DM1-048","DM1",-1.41487405925991,-0.189643703229646
"12","DM1-056","DM1",-1.24259481957425,-0.320486667516043
"13","DM1-058","DM1",-1.53823842287701,0.17285837563181
"14","DM1-061","DM1",-1.8727017137526,-0.251422722778355
"15","DM1-067","DM1",-1.44360245906763,-0.437466416828883
"16","DM1-068","DM1",-1.47301559475272,-0.11679624596241
"17","DM1-UPMC-001 (-072)","DM1",-1.18412455099399,0.118002624901003
"18","DM1-UPMC-003 (-076)","DM1",-1.19990167646227,0.302267820450847
"19","UA-003","UA",4.35266063029521,-1.0150228077795
"20","UA-011","UA",-0.0639168822595662,0.110071059748079
"21","UA-027","UA",3.67837761485893,0.181930972184593
"22","UA-040","UA",1.31553633695281,0.391446376035152
"23","UA-055","UA",0.366582533376881,0.36628367330024
"24","UA-058","UA",4.2250435135117,-1.21489925201952
"25","UA-059","UA",-0.171988728362092,-0.404940181417821
"26","UA-060","UA",-1.03466744010335,-0.0822061039199694
"27","UA-061","UA",3.50903952255715,-0.638214214669078
"28","UA-067","UA",0.72842021433147,0.471743747637139
"29","UA-075","UA",0.780358020967862,-0.21036693020469
"30","UA-BCH-005 (078)","UA",-0.0424129608950661,0.318116447075452
"31","UA-083","UA",3.55679314789004,1.37990949819893
"32","UA-085 (EIM)","UA",-0.52719615098871,0.086442560562093
"33","UA-WF-003 (-088)","UA",0.491666330602111,-0.557615598625779
"34","UA-UTSW-001 (-089)","UA",-0.0446836982100356,0.0314816972308357
"35","UA-WF-002 (-091)","UA",2.6468589585466,0.425955193806813
"36","UA-097 (EIM)","UA",0.349975820414192,0.080905377095581
"37","UA-098 (EIM)","UA",2.2227071368009,1.27032007970544
"38","DM1-002","DM1",-1.99062066022054,0.0780687165014443
"39","DM1-024","DM1",-1.6764268313796,0.00904837749951704
"40","DM1-032","DM1",-1.06919589410719,-0.121949873978698
"41","DM1-041","DM1",-1.14207290830563,-0.0974773886538861
"42","DM1-055","DM1",-1.78751928277161,-0.0808276572699292
"43","DM1-WF-004 (-079)","DM1",-1.69776159302229,-0.132776263001361
"44","UA-056","UA",0.523275584913987,0.98579877523314
"45","UA-076","UA",3.45479503778517,-0.817147002163861
"46","UA-BCH-006 (-079)","UA",3.3499388036445,0.63232814687365
"47","UA-087 (EIM)","UA",0.37451660826581,-0.264680315321347
"48","UA-UPMC-001 (-092)","UA",0.798138803841267,-0.175071349815458
"49","UA-095 (EIM)","UA",0.862932331356116,-0.0153141659032114
